(882L, 1953L, 968L, 2002L)
(882L, 2002L, 956L, 2066L)
(883L, 1620L, 1003L, 1711L)
(883L, 1706L, 1003L, 1769L)
(883L, 1769L, 935L, 1791L)
(884L, 1537L, 1004L, 1623L)
(886L, 1251L, 1031L, 1414L)
(886L, 1412L, 1015L, 1510L)
(886L, 1507L, 1003L, 1556L)
(891L, 1247L, 963L, 1293L)
(893L, 1219L, 958L, 1248L)
(894L, 201L, 1006L, 423L)
(895L, 1180L, 961L, 1219L)
(896L, 890L, 953L, 944L)
(897L, 462L, 1007L, 554L)
(897L, 554L, 952L, 648L)
(897L, 1102L, 1010L, 1183L)
(898L, 421L, 1007L, 465L)
(898L, 649L, 952L, 709L)
(898L, 710L, 953L, 790L)
(898L, 788L, 953L, 889L)
(898L, 941L, 952L, 984L)
(898L, 1008L, 1018L, 1129L)
(900L, 984L, 952L, 1009L)
(909L, 2231L, 1021L, 2348L)
(910L, 2410L, 950L, 2470L)
(910L, 2469L, 1018L, 2581L)
(910L, 2547L, 945L, 2581L)
(914L, 1815L, 969L, 1853L)
(915L, 2176L, 1021L, 2232L)
(922L, 2118L, 1018L, 2179L)
(936L, 5L, 1003L, 51L)
(936L, 1768L, 1002L, 1793L)
(938L, 52L, 1003L, 98L)
(940L, 99L, 1004L, 205L)
(940L, 2058L, 1018L, 2118L)
(946L, 2548L, 981L, 2581L)
(948L, 2000L, 969L, 2057L)
(950L, 1385L, 1017L, 1444L)
(951L, 2410L, 1019L, 2470L)
(952L, 553L, 1012L, 709L)
(952L, 944L, 1014L, 983L)
(953L, 710L, 1019L, 795L)
(953L, 793L, 970L, 890L)
(953L, 891L, 1017L, 943L)
(953L, 982L, 1020L, 1011L)
(958L, 1221L, 1026L, 1252L)
(959L, 1182L, 1007L, 1220L)
(961L, 2041L, 1016L, 2065L)
(966L, 794L, 1020L, 895L)
(968L, 1822L, 1005L, 1856L)
(968L, 1857L, 1020L, 1909L)
(969L, 1905L, 1026L, 1953L)
(969L, 1953L, 1024L, 2000L)
(969L, 2000L, 1016L, 2042L)
(971L, 1793L, 1001L, 1824L)
(998L, 5L, 1087L, 54L)
(1000L, 412L, 1155L, 554L)
(1000L, 1793L, 1032L, 1827L)
(1002L, 1512L, 1081L, 1559L)
(1002L, 1624L, 1118L, 1715L)
(1002L, 1712L, 1118L, 1797L)
(1003L, 95L, 1090L, 203L)
(1003L, 192L, 1221L, 299L)
(1003L, 1557L, 1078L, 1623L)
(1004L, 52L, 1087L, 98L)
(1004L, 286L, 1150L, 420L)
(1004L, 1474L, 1122L, 1515L)
(1004L, 1826L, 1027L, 1856L)
(1005L, 1182L, 1027L, 1222L)
(1007L, 554L, 1181L, 797L)
(1008L, 1857L, 1026L, 1896L)
(1009L, 1088L, 1137L, 1187L)
(1011L, 1047L, 1080L, 1097L)
(1012L, 1007L, 1083L, 1051L)
(1014L, 897L, 1079L, 990L)
(1015L, 1357L, 1225L, 1480L)
(1016L, 1972L, 1065L, 2065L)
(1017L, 2347L, 1117L, 2581L)
(1018L, 2066L, 1100L, 2144L)
(1019L, 797L, 1082L, 899L)
(1019L, 2141L, 1114L, 2231L)
(1020L, 981L, 1079L, 1014L)
(1020L, 2229L, 1117L, 2348L)
(1021L, 1858L, 1147L, 1952L)
(1025L, 1222L, 1132L, 1268L)
(1025L, 1946L, 1146L, 1987L)
(1027L, 1185L, 1129L, 1225L)
(1027L, 1266L, 1227L, 1367L)
(1027L, 1794L, 1146L, 1859L)
(1047L, 1984L, 1145L, 2066L)
(1075L, 1559L, 1100L, 1624L)
(1075L, 2066L, 1144L, 2146L)
(1079L, 1514L, 1120L, 1559L)
(1080L, 403L, 1149L, 473L)
(1080L, 796L, 1137L, 902L)
(1080L, 901L, 1139L, 985L)
(1080L, 983L, 1139L, 1019L)
(1080L, 1019L, 1108L, 1096L)
(1087L, 5L, 1221L, 98L)
(1087L, 99L, 1187L, 199L)
(1097L, 1019L, 1139L, 1091L)
(1098L, 1560L, 1118L, 1626L)
(1108L, 2146L, 1143L, 2170L)
(1109L, 2348L, 1216L, 2581L)
(1113L, 2169L, 1150L, 2229L)
(1116L, 2220L, 1224L, 2349L)
(1117L, 1627L, 1212L, 1718L)
(1118L, 1515L, 1216L, 1588L)
(1118L, 1586L, 1183L, 1628L)
(1119L, 1717L, 1210L, 1805L)
(1119L, 1779L, 1154L, 1798L)
(1122L, 1479L, 1218L, 1516L)
(1129L, 1188L, 1227L, 1275L)
(1131L, 1083L, 1169L, 1188L)
(1136L, 1015L, 1227L, 1083L)
(1137L, 795L, 1225L, 902L)
(1138L, 891L, 1226L, 979L)
(1139L, 976L, 1226L, 1017L)
(1142L, 2166L, 1173L, 2187L)
(1143L, 2186L, 1166L, 2219L)
(1144L, 2066L, 1211L, 2154L)
(1144L, 2146L, 1166L, 2166L)
(1145L, 1952L, 1216L, 2067L)
(1146L, 1887L, 1216L, 1952L)
(1147L, 473L, 1213L, 496L)
(1147L, 1799L, 1208L, 1858L)
(1147L, 1858L, 1210L, 1886L)
(1148L, 403L, 1221L, 483L)
(1149L, 486L, 1223L, 556L)
(1150L, 286L, 1221L, 402L)
(1157L, 2171L, 1212L, 2229L)
(1163L, 1083L, 1227L, 1167L)
(1164L, 554L, 1224L, 619L)
(1165L, 2175L, 1192L, 2205L)
(1167L, 2146L, 1203L, 2174L)
(1169L, 1160L, 1204L, 1189L)
(1174L, 619L, 1220L, 664L)
(1175L, 665L, 1222L, 740L)
(1177L, 740L, 1222L, 799L)
(1181L, 1563L, 1215L, 1629L)
(1187L, 99L, 1221L, 193L)
(1203L, 2065L, 1261L, 2172L)
(1204L, 1167L, 1227L, 1190L)
(1207L, 2173L, 1253L, 2226L)
(1209L, 1739L, 1255L, 1808L)
(1209L, 1807L, 1277L, 1893L)
(1210L, 1964L, 1244L, 2015L)
(1211L, 1630L, 1307L, 1720L)
(1211L, 1720L, 1255L, 1740L)
(1211L, 1912L, 1272L, 1965L)
(1211L, 2016L, 1233L, 2065L)
(1213L, 2227L, 1251L, 2334L)
(1214L, 402L, 1362L, 558L)
(1214L, 1563L, 1308L, 1634L)
(1214L, 2340L, 1409L, 2581L)
(1215L, 1888L, 1273L, 1931L)
(1217L, 1443L, 1321L, 1565L)
(1219L, 615L, 1357L, 664L)
(1219L, 663L, 1358L, 742L)
(1221L, 99L, 1281L, 193L)
(1221L, 555L, 1362L, 619L)
(1221L, 741L, 1357L, 875L)
(1221L, 1402L, 1325L, 1449L)
(1222L, 5L, 1267L, 98L)
(1222L, 193L, 1316L, 286L)
(1222L, 287L, 1316L, 402L)
(1222L, 800L, 1280L, 886L)
(1224L, 1365L, 1289L, 1406L)
(1225L, 1328L, 1290L, 1370L)
(1225L, 2226L, 1408L, 2348L)
(1226L, 880L, 1278L, 975L)
(1226L, 976L, 1279L, 1016L)
(1226L, 2007L, 1265L, 2025L)
(1227L, 1016L, 1249L, 1083L)
(1227L, 1083L, 1328L, 1193L)
(1227L, 1277L, 1319L, 1333L)
(1228L, 1192L, 1267L, 1286L)
(1230L, 2026L, 1264L, 2065L)
(1238L, 1986L, 1267L, 2007L)
(1245L, 1963L, 1269L, 1986L)
(1246L, 1016L, 1329L, 1083L)
(1253L, 1647L, 1314L, 1813L)
(1253L, 2064L, 1356L, 2226L)
(1264L, 1191L, 1323L, 1291L)
(1264L, 1877L, 1404L, 2065L)
(1268L, 5L, 1314L, 52L)
(1268L, 52L, 1314L, 98L)
(1268L, 99L, 1315L, 192L)
(1276L, 1811L, 1334L, 1882L)
(1277L, 874L, 1350L, 978L)
(1279L, 977L, 1343L, 1022L)
(1289L, 1365L, 1318L, 1407L)
(1290L, 1329L, 1318L, 1366L)
(1307L, 1568L, 1328L, 1635L)
(1308L, 1635L, 1356L, 1724L)
(1309L, 1539L, 1355L, 1569L)
(1309L, 1724L, 1353L, 1838L)
(1315L, 5L, 1358L, 52L)
(1315L, 52L, 1358L, 99L)
(1315L, 100L, 1358L, 194L)
(1315L, 286L, 1355L, 332L)
(1315L, 333L, 1357L, 402L)
(1316L, 194L, 1355L, 241L)
(1316L, 237L, 1356L, 287L)
(1316L, 1292L, 1457L, 1410L)
(1316L, 1510L, 1355L, 1546L)
(1318L, 1448L, 1364L, 1514L)
(1321L, 1194L, 1345L, 1291L)
(1325L, 973L, 1370L, 1084L)
(1325L, 1128L, 1460L, 1194L)
(1325L, 1393L, 1441L, 1460L)
(1326L, 1834L, 1403L, 1888L)
(1328L, 1084L, 1460L, 1138L)
(1329L, 1569L, 1355L, 1635L)
(1337L, 1194L, 1460L, 1297L)
(1347L, 871L, 1455L, 942L)
(1347L, 941L, 1457L, 982L)
(1349L, 1756L, 1404L, 1842L)
(1352L, 743L, 1453L, 878L)
(1353L, 100L, 1455L, 193L)
(1353L, 191L, 1454L, 402L)
(1353L, 1725L, 1404L, 1760L)
(1355L, 553L, 1514L, 761L)
(1355L, 1507L, 1415L, 1554L)
(1355L, 1546L, 1414L, 1571L)
(1355L, 1570L, 1414L, 1636L)
(1355L, 1636L, 1409L, 1725L)
(1355L, 2064L, 1407L, 2225L)
(1356L, 1457L, 1423L, 1515L)
(1358L, 5L, 1455L, 101L)
(1358L, 401L, 1456L, 555L)
(1370L, 980L, 1459L, 1085L)
(1398L, 1889L, 1527L, 2063L)
(1401L, 1842L, 1523L, 1897L)
(1403L, 1730L, 1526L, 1851L)
(1405L, 1637L, 1530L, 1761L)
(1406L, 2061L, 1523L, 2224L)
(1408L, 2222L, 1529L, 2347L)
(1408L, 2343L, 1698L, 2581L)
(1410L, 1573L, 1480L, 1639L)
(1413L, 1430L, 1498L, 1574L)
(1438L, 1298L, 1499L, 1432L)
(1449L, 660L, 1522L, 717L)
(1449L, 716L, 1530L, 879L)
(1450L, 401L, 1583L, 557L)
(1451L, 192L, 1575L, 297L)
(1453L, 98L, 1531L, 199L)
(1454L, 292L, 1578L, 403L)
(1454L, 864L, 1614L, 945L)
(1456L, 5L, 1502L, 99L)
(1457L, 942L, 1538L, 985L)
(1457L, 978L, 1538L, 1038L)
(1458L, 1194L, 1539L, 1299L)
(1459L, 1037L, 1538L, 1086L)
(1460L, 1087L, 1495L, 1127L)
(1461L, 1120L, 1539L, 1194L)
(1467L, 614L, 1739L, 663L)
(1471L, 1430L, 1685L, 1661L)
(1478L, 2011L, 1522L, 2062L)
(1490L, 555L, 1745L, 632L)
(1496L, 1086L, 1538L, 1124L)
(1496L, 1299L, 1541L, 1435L)
(1500L, 5L, 1573L, 98L)
(1514L, 307L, 1602L, 409L)
(1515L, 1853L, 1560L, 1901L)
(1518L, 718L, 1618L, 870L)
(1521L, 1901L, 1562L, 1930L)
(1521L, 1929L, 1558L, 1957L)
(1522L, 661L, 1736L, 947L)
(1522L, 1958L, 1559L, 2009L)
(1522L, 2060L, 1630L, 2126L)
(1523L, 395L, 1759L, 573L)
(1523L, 2010L, 1559L, 2061L)
(1523L, 2222L, 1694L, 2347L)
(1524L, 2126L, 1630L, 2222L)
(1525L, 1791L, 1564L, 1853L)
(1526L, 1658L, 1569L, 1791L)
(1530L, 128L, 1573L, 211L)
(1531L, 98L, 1568L, 128L)
(1533L, 1402L, 1568L, 1429L)
(1534L, 1323L, 1572L, 1402L)
(1535L, 1194L, 1597L, 1323L)
(1537L, 983L, 1610L, 1041L)
(1539L, 943L, 1616L, 986L)
(1539L, 1040L, 1607L, 1089L)
(1539L, 1087L, 1603L, 1193L)
(1546L, 2346L, 1633L, 2426L)
(1554L, 1794L, 1693L, 1906L)
(1558L, 1901L, 1630L, 1957L)
(1559L, 1958L, 1628L, 2009L)
(1560L, 2009L, 1630L, 2061L)
(1563L, 1660L, 1690L, 1846L)
(1565L, 97L, 1716L, 231L)
(1568L, 1323L, 1691L, 1430L)
(1569L, 5L, 1681L, 98L)
(1570L, 216L, 1635L, 314L)
(1573L, 1425L, 1623L, 1453L)
(1593L, 232L, 1669L, 380L)
(1595L, 332L, 1727L, 401L)
(1595L, 1194L, 1702L, 1328L)
(1598L, 2411L, 1647L, 2468L)
(1600L, 1090L, 1712L, 1196L)
(1606L, 988L, 1725L, 1097L)
(1612L, 947L, 1731L, 990L)
(1624L, 1427L, 1688L, 1460L)
(1626L, 1887L, 1691L, 1957L)
(1628L, 289L, 1731L, 349L)
(1628L, 2059L, 1693L, 2125L)
(1628L, 2465L, 1656L, 2502L)
(1629L, 1956L, 1692L, 2008L)
(1629L, 2124L, 1693L, 2222L)
(1630L, 2008L, 1692L, 2060L)
(1632L, 2342L, 1695L, 2411L)
(1636L, 2408L, 1697L, 2459L)
(1643L, 89L, 1765L, 239L)
(1648L, 2450L, 1701L, 2572L)
(1649L, 246L, 1740L, 319L)
(1662L, 858L, 1735L, 947L)
(1665L, 1590L, 1697L, 1667L)
(1667L, 1663L, 1691L, 1714L)
(1670L, 210L, 1707L, 248L)
(1678L, 1440L, 1773L, 1586L)
(1678L, 1581L, 1772L, 1666L)
(1681L, 1872L, 1749L, 2008L)
(1682L, 5L, 1773L, 101L)
(1684L, 1661L, 1768L, 1760L)
(1686L, 1327L, 1772L, 1447L)
(1688L, 1752L, 1764L, 1852L)
(1693L, 215L, 1729L, 266L)
(1693L, 1838L, 1855L, 2032L)
(1693L, 2008L, 1762L, 2059L)
(1693L, 2171L, 1737L, 2224L)
(1693L, 2222L, 1738L, 2339L)
(1693L, 2292L, 2271L, 2581L)
(1694L, 186L, 1723L, 217L)
(1694L, 1274L, 1732L, 1328L)
(1694L, 2057L, 1736L, 2088L)
(1694L, 2088L, 1735L, 2126L)
(1694L, 2126L, 1736L, 2170L)
(1698L, 1192L, 1744L, 1278L)
(1698L, 2450L, 1789L, 2501L)
(1700L, 2502L, 1790L, 2581L)
(1705L, 1086L, 1903L, 1193L)
(1709L, 133L, 1769L, 196L)
(1719L, 991L, 1940L, 1100L)
(1722L, 190L, 1772L, 281L)
(1725L, 351L, 1762L, 396L)
(1726L, 916L, 1968L, 1000L)
(1728L, 321L, 1766L, 354L)
(1732L, 280L, 1771L, 322L)
(1733L, 1167L, 1878L, 1328L)
(1734L, 581L, 1988L, 939L)
(1735L, 2047L, 1768L, 2125L)
(1736L, 2124L, 1777L, 2223L)
(1738L, 2220L, 1851L, 2331L)
(1742L, 536L, 1865L, 611L)
(1747L, 5L, 1840L, 114L)
(1749L, 392L, 1871L, 550L)
(1759L, 2054L, 1859L, 2223L)
(1761L, 281L, 2002L, 393L)
(1763L, 1755L, 1859L, 1836L)
(1763L, 2014L, 1826L, 2067L)
(1765L, 1835L, 1856L, 1904L)
(1766L, 5L, 2017L, 290L)
(1766L, 1667L, 1871L, 1768L)
(1769L, 1318L, 1879L, 1449L)
(1769L, 1586L, 1879L, 1671L)
(1771L, 1449L, 1879L, 1543L)
(1772L, 1469L, 1879L, 1589L)
(1780L, 2052L, 1863L, 2154L)
(1782L, 1286L, 1878L, 1319L)
(1786L, 2451L, 1828L, 2502L)
(1790L, 2502L, 1827L, 2581L)
(1793L, 1999L, 1869L, 2086L)
